Corruption,Source_Only,MoTTA_Original,Ablation_ODPMoTTA_MemMoTTA (Sanity Check),Ablation_ODPBlockWise_Mem_MoTTA,Ablation_ODPMoTTA_MemAAMP,MoTTA_AAMP
gaussian_noise,94.32,70.93,71.03,70.40,69.57,69.02
shot_noise,93.51,68.30,68.53,67.28,67.31,66.55
impulse_noise,93.56,68.25,68.53,67.92,67.41,67.04
defocus_blur,84.97,72.40,69.43,69.95,67.80,68.32
glass_blur,91.77,73.25,72.39,72.43,71.25,70.80
motion_blur,86.70,59.82,59.34,59.31,58.66,58.64
zoom_blur,77.14,51.59,51.29,51.39,50.88,50.68
snow,84.41,53.33,53.44,52.37,52.93,52.10
frost,79.56,59.54,59.46,58.53,58.49,57.86
fog,77.79,43.92,43.58,43.05,43.43,43.17
brightness,44.36,34.46,33.47,33.64,33.25,33.08
contrast,95.78,62.62,61.14,61.49,58.41,59.09
elastic_transform,85.68,46.33,46.64,46.34,46.49,46.39
pixelate,77.01,43.14,43.00,42.89,42.64,42.60
jpeg_compression,65.46,49.99,48.99,48.81,48.70,48.15